HGNC symbol	MIM morbid accession
NPFFR1	
ATP5A1P2	
MTND4P28	
	
MTND5P30	
MTND6P9	
MUC15	
MTCYBP9	
MEX3B	
LINC01876	
	
AGTR1	267430
AGTR1	145500
	
ATIC	608688
	
	
CLEC19A	
MLXIP	
POLD2	
ANO3	615034
KIAA1614	
	
LINC01708	
ATP4B	
	
	
	
PKP3	
	
	
HLA-DMB	
	
	
	
HTATSF1P1	
CACNA1C	
CBX3P9	
	
MYSM1	
RBM28	612079
	
OSBP2	
	
HSPE1P5	
CDH3	601553
CDH3	225280
FBXO16	
	
USP40	
NEXN	613876
NEXN	613122
MCCD1P2	
HLA-J	
	
RGL2	
PALMD	
	
MICD	
DDX39BP2	
ZNRF2	
ETF1P1	
HLA-W	
NDUFA9P1	
HLA-A	608579
RBFOX2	
	
	
GHITM	
BCL7B	
HYKK	
SOD2P1	
	
	
	
TAF1B	
COL11A1	604841
COL11A1	603932
COL11A1	228520
COL11A1	154780
	
SERF1A	
	
P4HTM	
	
WDR49	
	
LRRC20	
	
	
	
GRK1	613411
	
MS4A13	
KIR2DS2	
	
	
RPL39P6	
RORC	616622
ZNF395	
MTOR	616638
MTOR	607341
	
	
	
	
KIR2DL2	
	
NRM	
	
MROH9	
TSPY23P	
	
RBMY2UP	
	
KRT18P22	
HMGB1P47	
SMN1	271150
SMN1	253550
SMN1	253400
SMN1	253300
LRRC37A9P	
NMD3P1	
	
CALHM6	
SERPINI2	
RRN3	
PADI3	191480
TRIM69	
SOBP	613671
NEXN-AS1	
	
	
	
INHBE	
	
WDR6	
HCG25	
	
	
LRRCC1	
	
VPS52	
	
	
	
	
LY6G6C	
CAPZA3	
FMO3	602079
RPL7P6	
KDF1	617337
MPIG6B	617441
TERF2IP	
PDGFA	
CPHXL	
	
ATP5F1P7	
MEF2BNBP1	
	
DUXB	
NECAB3	
HNRNPLL	
RPL12P13	
KARS	613916
KARS	613641
	
OSTCP2	
LINGO4	
TRNP1	
AZI2	
RNF152P1	
PLGRKT	
	
	
SLC7A3	
FBLN7	
	
MASTL	188000
ARFIP1	
COG4	613489
	
ST13P5	
	
	
	
	
LINC02044	
PFDN6	
	
	
NEPRO	
VSTM1	
	
UGT2A3	
	
	
CDCA5	
EIF3FP3	
LINC01795	
FAM46B	
	
PRR3	
TMEM198	
RPS23P8	
MRPS17	
	
HCG4P8	
HCG4P5	
ETF1P1	
SLC25A1P3	
LINC01122	
VN1R34P	
MICF	
HLA-K	
	
	
ARAFP1	
	
DDX55P1	
HLA-G	600807
	
ARIH2P1	
	
NIPSNAP2	
	
RPL35P4	
VN1R36P	
VN1R35P	
	
	
RPS3AP53	
	
	
	
LINC00552	
	
HNRNPA1P73	
LINC01252	
SLX4	613951
SLX4	189960
	
	
CHPF	
B3GALT4	
	
	
KCNK9	612292
CSF2RBP1	
	
GNL1	
	
KRTCAP2	
	
	
	
WDR46	
CMA1	
	
RBMY1KP	
COL6A4P1	
PUSL1	
TTTY5	
	
TSPY22P	
KBTBD2	
RBMY2FP	
VENTXP6	
UBE2W	
RPL34P17	
TLN2	
	
TTTY25P	
PSMA6P4	
	
TSPY21P	
	
ST18	
	
NDUFB10	
OGFRL1	
	
	
	
C20orf194	
SNRNP48	
ALDH9A1	
	
	
	
SLAMF6	
EIF4HP1	
TRBVA	
PSMC1P2	
FAM90A17P	
RBMY1J	
COQ10A	
RCC2P1	
UGT2B27P	
	
TRBV26	
	
THEMIS	
	
MID2	300928
TSPYL6	
	
	
DSC3	
LINC00472	
ACYP2	
	
MYL12A	
	
	
	
MAPK15	
NBPF12	
TRIM46	
MRPS17P5	
	
	
RGS21	
	
LARP4P	
CSNK1A1P1	
RPL7AP61	
ZNRD1ASP	
	
C15orf41	615631
	
	
	
TRA2B	
	
CTSG	
	
FAM138C	
FAM192BP	
PSME4	
	
SDSL	
	
	
ZNF713	
	
	
BRD2	
GOLPH3	
CCNB1IP1P2	
HIBADH	
CABP7	
WFDC8	
SDHAP1	
KATNBL1P4	
CMC1	
ANGPTL7	
ZMAT5	
	
	
CALHM5	
ZC2HC1A	
GZMB	
LINC00301	
FAM110C	
	
	
	
	
ATXN2-AS	
BRPF1	617333
TRAPPC3L	
	
ATF6B	
	
	
	
	
	
ATXN2	183090
ATXN2	168600
	
	
C10orf99	
CDS2	
HCG4B	
TDRP	
MCCD1P2	
CD84	
MYL12B	
ASZ1	
HCG9	
CALHM4	
ELOA	
LY6G6C	
GANAB	
HCG4P5	
THAP12P7	
HCG4P3	
IL7	
MTOR-AS1	
PTPN6	
ZNF25	
CD274	
SCML4	
MPIG6B	617441
	
TUBA1C	
TARM1	
	
SDS	
	
WDR13	
	
	
GTPBP8	
	
LINC02118	
STAU2-AS1	
NAIP	
GLULP6	
	
	
HNRNPA1P47	
	
ELOA-AS1	
	
	
RFTN1	
	
GZMH	
MGAT4D	
UPF1	
	
TRIM26	
ASS1P6	
UBE2V1P1	
TRBVB	
	
DSCAS	
	
FAM90A19P	
	
DSC2	610476
	
	
DDB2	278740
TRBV27	
LINC01583	
	
MXD4	
LINC02226	
MXRA5Y	
SHQ1P1	
RPS24P1	
	
	
TUBA1A	611603
SGMS1	
MIR4458HG	
	
	
	
TPST2P1	
NLGN2	
	
	
LINC01821	
	
	
PGM5P3-AS1	
	
	
TMSB4XP2	
GPANK1	
COLEC11	
	
FRG1-DT	
MUC1	174000
	
RGS1	
CDCA4P1	
	
ZAR1L	
TMEM183AP1	
ZDHHC21	
	
NEMP1	
	
UBD	
LINC01388	
	
	
FOXD4	
	
	
	
	
TNXB	615963
TNXB	606408
	
	
	
MTND6P2	
CER1	
ZBED4	
DUSP11	
SNPH	
	
